Sr No,Task Name,Description,Status,Concept They Will Learn
24,Add product sorting,"Allow customers to sort products by price, name or creation date.",Not Started,"Sorting, safe query parameters"
25,Filter products by category,Allow customers to browse products belonging to a selected category.,Not Started,"JPQL, derived queries, filtering"
26,Filter products by price,Allow customers to search within a minimum and maximum price range.,Not Started,"Custom queries, query parameters"
27,Find products by name,Allow customers to search the catalog using product name keywords.,Not Started,"LIKE, JPQL, SQL"
28,Show only purchasable products,Ensure catalog responses can distinguish products that have available stock.,Not Started,"Business filtering, SQL conditions"
29,Design product response DTO,Return customer-friendly product data without exposing internal entity details.,Not Started,"DTO pattern, API contracts"
30,Implement global API error response,"Create a consistent error format for invalid requests, missing products and business failures.",Not Started,"@ControllerAdvice, exception handling"
31,Configure product database indexes,Index product/category fields according to actual catalog search patterns.,Not Started,"Database indexing, query optimization"
32,Inspect catalog SQL,Enable SQL logging and understand the queries generated by Hibernate for product browsing.,Not Started,"Hibernate SQL, persistence behavior"
33,Create Order entity,"Represent a customer's purchase, order status, total amount and shipping address snapshot.",Not Started,"JPA, enums, transactional modeling"
34,Create OrderItem entity,Represent each product and quantity purchased inside an order.,Not Started,"One-to-many, many-to-one"
35,Create order repository,Provide persistence operations required for order history and order management.,Not Started,Spring Data JPA
36,Create order placement request,Design an API request containing product IDs and requested quantities.,Not Started,"DTO design, API contracts"
37,Validate order products,Reject an order when a requested product does not exist or is unavailable.,Not Started,"Business validation, service orchestration"
38,Calculate order item price,Read the current product price from the database instead of trusting a client-provided price.,Not Started,"Server-side business rules, security"
39,Calculate order total,Calculate the order total from persisted product prices and requested quantities.,Not Started,"BigDecimal, business logic"
40,Create shipping address snapshot,Copy the selected address into the order so historical orders retain their original shipping information.,Not Started,"Data snapshotting, consistency"
41,Persist order and items transactionally,Save the order and all order items as one atomic business operation.,Not Started,"@Transactional, ACID"
42,Create order confirmation response,"Return order ID, status, items and total after successful placement.",Not Started,"DTO composition, REST response design"
43,Create customer order history,Allow customers to retrieve only their own previous orders.,Not Started,"Ownership authorization, queries"
44,Retrieve order details,Return an order with its line items and relevant product information.,Not Started,"Entity relationships, fetch strategy"
45,Implement order status lifecycle,"Define valid states such as CREATED, CONFIRMED, SHIPPED, DELIVERED and CANCELLED.",Not Started,"State modeling, enums"
46,Prevent invalid order transitions,Reject transitions such as DELIVERED back to CREATED.,Not Started,"Business rules, state transitions"
47,Implement order cancellation,Allow cancellation only when the order is in an eligible state.,Not Started,"Business validation, transactions"
48,Restore stock on cancellation,Return purchased quantities to inventory when a cancellable order is cancelled.,Not Started,Transactional inventory updates
49,Implement basic stock reservation,Reduce available product stock when an order is successfully placed.,Not Started,"Inventory management, transactions"
50,Prevent negative stock,Ensure an order cannot reduce stock below zero.,Not Started,"Database constraints, conditional updates"
51,Use atomic stock decrement,Update stock only when enough inventory exists in the same SQL operation.,Not Started,"Custom SQL, atomic updates"
52,Demonstrate overselling race condition,Send concurrent orders for the last units of a product and observe the stock race condition.,Not Started,"Concurrency, race conditions"
53,Solve overselling with optimistic locking,Use a product version to detect conflicting concurrent inventory updates.,Not Started,"@Version, optimistic locking"
54,Solve inventory with pessimistic locking,Lock the product row while reserving stock and compare the behavior with optimistic locking.,Not Started,"Pessimistic locking, SELECT FOR UPDATE"
55,Compare inventory strategies,"Document when atomic SQL, optimistic locking and pessimistic locking should be used for inventory.",Not Started,"Concurrency design, trade-offs"
56,Build concurrent order test,Run many simultaneous order attempts against limited stock and verify that stock never becomes negative.,Not Started,"Java concurrency, integration testing"
57,Use ExecutorService for order simulation,Create a thread pool to simulate multiple customers purchasing the same product.,Not Started,"ExecutorService, thread pools"
58,Use CompletableFuture for independent reads,Experiment with asynchronously retrieving independent catalog/customer information where it provides value.,Not Started,"CompletableFuture, asynchronous programming"
59,Demonstrate ConcurrentHashMap,Build a small inventory counter exercise and compare it with HashMap under concurrent access.,Not Started,"Concurrent collections, thread safety"
60,Demonstrate AtomicInteger,Use atomic operations to understand compare-and-set behavior before applying concurrency to business logic.,Not Started,"Atomic variables, CAS"
61,Create idempotent order API,Prevent a network retry from creating two orders for the same customer request.,Not Started,"Idempotency keys, duplicate request handling"
62,Persist idempotency key,Store the request key and resulting order so repeated requests return the original result.,Not Started,"Database uniqueness, idempotency"
63,Write custom SQL for order history,Create a SQL query joining orders and order items for a customer's order-history view.,Not Started,"SQL joins, native queries"
64,Write custom SQL for sales report,Calculate quantity sold and revenue per product using order items.,Not Started,"GROUP BY, SUM, aggregation"
65,Write category sales report,Calculate sales totals grouped by category.,Not Started,"JOIN, GROUP BY, aggregation"
66,Use SQL window function,Find the highest-selling products or rank products within categories using a window function.,Not Started,Window functions
67,Optimize order-history query,Inspect the execution plan and add indexes required by customer order-history access patterns.,Not Started,"EXPLAIN, indexing"
68,Optimize product search query,Measure catalog search performance and improve the SQL/query design where necessary.,Not Started,Query optimization
69,Solve JPA N+1 in order details,Identify and fix excessive product queries when loading an order with many order items.,Not Started,"Hibernate N+1, fetch joins"
70,Use EntityGraph for order retrieval,Define a controlled fetch plan for order details without globally changing relationship fetch behavior.,Not Started,"EntityGraph, fetch planning"
71,Understand lazy loading in orders,Observe what happens when order relationships are accessed outside the persistence context.,Not Started,"LazyInitializationException, persistence context"
72,Add transaction boundaries,Decide which service methods should be transactional based on e-commerce business operations.,Not Started,Transaction boundaries
73,Study transaction isolation,Simulate concurrent inventory changes and understand READ COMMITTED and stronger isolation levels.,Not Started,"Isolation, ACID"
74,Configure JPA auditing,Automatically maintain createdAt and updatedAt for products and orders.,Not Started,"Auditing, entity listeners"
75,Standardize time handling,Define a consistent approach for timestamps in APIs and database records.,Not Started,"Java time, timezone handling"
76,Implement password hashing,Store customer passwords only as secure hashes.,Not Started,"Spring Security, password encoding"
77,Add Spring Security,Protect customer and administration APIs from unauthenticated access.,Not Started,Spring Security
78,Implement JWT authentication,Issue and validate JWT access tokens for customer API access.,Not Started,"JWT, authentication"
79,Implement role-based authorization,Allow ADMIN to manage products/categories while CUSTOMER can place and view orders.,Not Started,"RBAC, authorization"
80,Protect customer ownership,Prevent one customer from accessing another customer's addresses or orders.,Not Started,"Authorization, object ownership"
81,Validate API security boundaries,"Test unauthorized, forbidden and valid requests for customer and admin APIs.",Not Started,Security testing
82,Handle CORS correctly,Configure browser access for the frontend application without exposing unnecessary origins.,Not Started,"CORS, web security"
83,Understand CSRF for APIs,Determine whether CSRF protection is required based on the chosen authentication architecture.,Not Started,"CSRF, API security"
84,Prevent SQL injection,Use parameterized repository/custom SQL queries for product search and reporting.,Not Started,"Prepared statements, secure queries"
85,Introduce Redis,Connect Redis to the e-commerce backend and verify connectivity.,Not Started,"Redis, Spring Data Redis"
86,Cache product details,Cache frequently requested product information to reduce database reads.,Not Started,"Spring Cache, @Cacheable"
87,Cache category listing,Cache categories because they are read frequently and change less often than orders.,Not Started,"Caching strategy, TTL"
88,Evict product cache on update,Ensure updated product information does not remain stale after an admin changes it.,Not Started,"@CacheEvict, cache consistency"
89,Cache stock carefully,Analyze why product stock should not blindly rely on a long-lived cache during order placement.,Not Started,"Caching trade-offs, source of truth"
90,Implement cache-aside behavior,"Understand cache miss, database read, cache population and cache hit for product retrieval.",Not Started,Cache-aside pattern
91,Handle cache stampede,Simulate many requests after product cache expiration and discuss ways to reduce database spikes.,Not Started,"Cache stampede, synchronization"
92,Configure Redis serialization,Store product DTOs safely in Redis using a consistent serialization format.,Not Started,"Serialization, Redis"
93,Understand distributed cache consistency,Run multiple application instances conceptually and analyze stale cache scenarios.,Not Started,"Distributed caching, consistency"
94,Create OrderCreated event,Define an event containing the information downstream services need after a successful order.,Not Started,"Event-driven design, event schema"
95,Set up Kafka,Run Kafka locally and configure Spring Kafka for the e-commerce application.,Not Started,"Kafka, Spring Kafka"
96,Publish OrderCreated event,Publish an event after an order is successfully created.,Not Started,"Kafka producer, event publishing"
97,Create order-events topic,Create a Kafka topic for order lifecycle events and choose an appropriate partition key.,Not Started,"Topics, partitions, message keys"
98,Build Kafka consumer,Consume order-created events in a separate processing component.,Not Started,"Kafka consumer, listeners"
99,Understand consumer groups,Run multiple consumers and observe how Kafka distributes partitions among them.,Not Started,"Consumer groups, scalability"
100,Understand Kafka offsets,"Experiment with commits, restarts and message reprocessing.",Not Started,"Offsets, delivery semantics"
101,Handle Kafka failures,Simulate consumer failures and configure retry behavior.,Not Started,"Retries, error handling"
102,Create dead-letter topic,Send repeatedly failing order events to a DLT for later investigation.,Not Started,"DLT, operational resilience"
103,Make Kafka consumer idempotent,Ensure processing the same OrderCreated event twice does not duplicate downstream business effects.,Not Started,Idempotent consumers
104,Implement transactional outbox,Store the order and its outgoing event record in one database transaction.,Not Started,"Transactional outbox, atomicity"
105,Publish outbox events,Create a publisher that reads pending outbox records and sends them to Kafka.,Not Started,"Polling publisher, reliable messaging"
106,Handle outbox retries,Ensure failed Kafka publication can be retried without losing or duplicating business events.,Not Started,"Retry, eventual consistency"
107,Design order event lifecycle,"Publish events such as OrderCreated, OrderCancelled and OrderShipped as the order progresses.",Not Started,"Event modeling, domain events"
108,Compare REST and Kafka,Decide which e-commerce interactions need synchronous REST and which are better handled asynchronously.,Not Started,"Integration patterns, architecture"
109,Build order processing consumer,Consume OrderCreated and perform a simple downstream action such as audit/notification processing.,Not Started,Event-driven workflow
110,Add API rate limiting,"Protect login, product search and order endpoints from excessive traffic.",Not Started,"Rate limiting, Redis"
111,Create repository tests,"Test product, category and order repository behavior against a database.",Not Started,"JUnit, @DataJpaTest"
112,Create service unit tests,"Test order total, stock validation and cancellation rules independently from infrastructure.",Not Started,"JUnit, Mockito"
113,Create controller tests,"Test validation errors, authentication failures and successful API responses.",Not Started,"MockMvc, @WebMvcTest"
114,Create integration tests,Test customer registration through order placement using the real Spring application context.,Not Started,"@SpringBootTest, integration testing"
115,Use Testcontainers,"Run database, Redis and Kafka dependencies in containers for repeatable integration tests.",Not Started,Testcontainers
116,Test concurrent stock reservation,Use integration tests to prove that concurrent buyers cannot oversell inventory.,Not Started,"Concurrency testing, database locking"
117,Document e-commerce APIs,"Document customer, product, category, address and order APIs with OpenAPI.",Not Started,Swagger/OpenAPI
118,Add structured logging,"Log important business operations such as order creation, cancellation and stock failures.",Not Started,"SLF4J, structured logging"
119,Add correlation IDs,Attach a request ID to logs so one customer's order request can be traced across backend operations.,Not Started,"MDC, request filters"
120,Add Actuator health checks,Expose safe health/readiness information for the application and dependencies.,Not Started,Spring Boot Actuator
121,Add backend metrics,"Track API latency, order failures, database usage and Kafka processing metrics.",Not Started,"Micrometer, observability"
122,Measure order API performance,Create a baseline for order placement latency before applying optimizations.,Not Started,"Performance engineering, latency"
123,Load test product APIs,"Generate concurrent catalog traffic and measure throughput, latency and database behavior.",Not Started,"Load testing, throughput"
124,Load test order APIs,Generate concurrent order requests against limited inventory and validate correctness under load.,Not Started,"Load testing, concurrency"
125,Understand HikariCP,Inspect database connection pooling and understand how pool size affects concurrent order traffic.,Not Started,"HikariCP, connection pooling"
126,Tune database connections,Experiment with connection pool settings and observe the effect under load.,Not Started,"Performance tuning, JDBC"
127,Dockerize e-commerce backend,Package the Spring Boot service into a Docker image.,Not Started,"Docker, containerization"
128,Run full local stack,"Use Docker Compose to run the backend, database, Redis and Kafka locally.",Not Started,"Docker Compose, infrastructure"
129,Externalize secrets,"Move database, JWT, Redis and Kafka credentials out of source code.",Not Started,"Environment variables, secret management"
130,Create API versioning strategy,Introduce a versioning approach that allows the e-commerce API to evolve without immediately breaking clients.,Not Started,"API evolution, versioning"
131,Review transactional consistency,"Review registration, address changes, order placement, cancellation and stock updates for correct transaction boundaries.",Not Started,"Consistency, transaction design"
132,Review failure scenarios,"Document what happens if the database succeeds but Kafka fails, Redis fails, or a consumer crashes.",Not Started,"Resilience, failure analysis"
133,Review cache and inventory design,Identify which data can be cached safely and which inventory operations must use authoritative database state.,Not Started,"Caching, consistency, source of truth"
134,Final end-to-end purchase flow,Implement and demonstrate Customer → Product Catalog → Order → Inventory → Database → Outbox → Kafka → Consumer → Observability.,Not Started,End-to-end backend architecture
